latitude,longitude,Altitude,track_seg_point_id,time
-2.406952,54.184575,246,299,2021/09/11 09:24:25+00
-2.406698,54.184757,244.8,300,2021/09/11 09:24:28+00
-2.406445,54.184937,243.8,301,2021/09/11 09:24:31+00
-2.406285,54.185062,243.6,302,2021/09/11 09:24:33+00
-2.406206,54.18513,243.4,303,2021/09/11 09:24:34+00
-2.405739,54.185516,242.8,304,2021/09/11 09:24:40+00
-2.405522,54.185688,242.2,305,2021/09/11 09:24:43+00
-2.405321,54.185862,241.8,306,2021/09/11 09:24:45+00
-2.405321,54.185862,241.8,307,2021/09/11 09:24:46+00
-2.405052,54.186075,242.4,308,2021/09/11 09:24:50+00
-2.40457,54.186481,243.2,309,2021/09/11 09:24:58+00
-2.404077,54.186911,243.8,310,2021/09/11 09:25:06+00
-2.403612,54.187296,244.4,311,2021/09/11 09:25:14+00
-2.403316,54.187552,244.4,312,2021/09/11 09:25:20+00
-2.403042,54.18782,245,313,2021/09/11 09:25:26+00
-2.402908,54.187948,245.6,314,2021/09/11 09:25:29+00
-2.402594,54.188292,246,315,2021/09/11 09:25:37+00
-2.402288,54.188679,246.6,316,2021/09/11 09:25:46+00
-2.402148,54.188862,247.2,317,2021/09/11 09:25:50+00
-2.402013,54.189039,248,318,2021/09/11 09:25:54+00
-2.401946,54.189125,248.4,319,2021/09/11 09:25:56+00
-2.401746,54.18933,248.8,320,2021/09/11 09:26:01+00
-2.401476,54.189565,249.4,321,2021/09/11 09:26:07+00
-2.40144,54.189601,249.4,322,2021/09/11 09:26:08+00
-2.401215,54.189841,249.8,323,2021/09/11 09:26:15+00
-2.4011,54.189939,250.6,324,2021/09/11 09:26:18+00
-2.400952,54.190069,251.2,325,2021/09/11 09:26:22+00
-2.400921,54.190099,251.4,326,2021/09/11 09:26:23+00
-2.400862,54.190158,251.6,327,2021/09/11 09:26:25+00
-2.400726,54.190299,252,328,2021/09/11 09:26:30+00
-2.400613,54.19039,252.6,329,2021/09/11 09:26:34+00
-2.400509,54.190479,253.6,330,2021/09/11 09:26:38+00
-2.400487,54.190491,253.8,331,2021/09/11 09:26:39+00
-2.400371,54.190605,255,332,2021/09/11 09:26:44+00
-2.400329,54.190631,255.2,333,2021/09/11 09:26:45+00
-2.400233,54.190707,256.4,334,2021/09/11 09:26:47+00
-2.400106,54.190835,257,335,2021/09/11 09:26:53+00
-2.400082,54.190856,257.2,336,2021/09/11 09:26:54+00
-2.400031,54.190899,257.2,337,2021/09/11 09:26:56+00
-2.400012,54.190917,257.4,338,2021/09/11 09:26:57+00
-2.39999,54.190935,257.8,339,2021/09/11 09:26:58+00
-2.399965,54.190955,258,340,2021/09/11 09:26:59+00
-2.399895,54.191013,258.8,341,2021/09/11 09:27:02+00
-2.399815,54.191098,259.8,342,2021/09/11 09:27:06+00
-2.399738,54.191155,260.8,343,2021/09/11 09:27:09+00
-2.399723,54.191171,261,344,2021/09/11 09:27:10+00
-2.399587,54.191305,262,345,2021/09/11 09:27:16+00
-2.399564,54.19133,262.4,346,2021/09/11 09:27:17+00
-2.399518,54.191377,263,347,2021/09/11 09:27:19+00
-2.399411,54.191475,264,348,2021/09/11 09:27:24+00
-2.39931,54.191574,265.2,349,2021/09/11 09:27:29+00
-2.399273,54.191612,265.6,350,2021/09/11 09:27:31+00
-2.399214,54.191672,266.4,351,2021/09/11 09:27:34+00
-2.399133,54.191748,267.6,352,2021/09/11 09:27:38+00
-2.399073,54.191798,268,353,2021/09/11 09:27:41+00
-2.399036,54.191835,268.8,354,2021/09/11 09:27:43+00
-2.398942,54.191929,269.8,355,2021/09/11 09:27:48+00
-2.398924,54.191946,270,356,2021/09/11 09:27:49+00
-2.398851,54.192016,271,357,2021/09/11 09:27:53+00
-2.398798,54.192076,272.2,358,2021/09/11 09:27:57+00
-2.398721,54.192172,273.2,359,2021/09/11 09:28:03+00
-2.398642,54.192262,274.4,360,2021/09/11 09:28:09+00
-2.3986,54.192311,275,361,2021/09/11 09:28:12+00
-2.398563,54.192354,275.4,362,2021/09/11 09:28:15+00
-2.398532,54.192395,275.8,363,2021/09/11 09:28:18+00
-2.398492,54.192445,276.6,364,2021/09/11 09:28:21+00
-2.398404,54.192516,277,365,2021/09/11 09:28:25+00
-2.398278,54.192633,277.6,366,2021/09/11 09:28:31+00
-2.398251,54.192646,277.8,367,2021/09/11 09:28:32+00
-2.39807,54.192735,278.6,368,2021/09/11 09:28:38+00
-2.398012,54.192768,278.8,369,2021/09/11 09:28:40+00
-2.397853,54.192855,279.8,370,2021/09/11 09:28:47+00
-2.397846,54.192858,280.2,371,2021/09/11 09:28:54+00
-2.397847,54.192857,280.2,372,2021/09/11 09:28:56+00
-2.397848,54.192859,279.8,373,2021/09/11 09:28:59+00
-2.39785,54.192859,279.8,374,2021/09/11 09:29:05+00
-2.397856,54.192862,279.6,375,2021/09/11 09:29:13+00
-2.397856,54.192861,279.4,376,2021/09/11 09:29:14+00
-2.397862,54.192863,279.6,377,2021/09/11 09:29:20+00
-2.397869,54.19286,279.6,378,2021/09/11 09:29:23+00
-2.397887,54.192865,279.2,379,2021/09/11 09:29:27+00
-2.397869,54.19287,279.2,380,2021/09/11 09:29:31+00
-2.397857,54.192894,279.6,381,2021/09/11 09:29:39+00
-2.397854,54.192877,279.6,382,2021/09/11 09:29:47+00
-2.397849,54.192874,279.8,383,2021/09/11 09:29:49+00
-2.397833,54.192871,279.6,384,2021/09/11 09:29:52+00
-2.397839,54.192871,279.2,385,2021/09/11 09:29:55+00
-2.397845,54.192882,279.4,386,2021/09/11 09:30:04+00
-2.397848,54.192898,279.6,387,2021/09/11 09:30:14+00
-2.39785,54.192888,279.4,388,2021/09/11 09:30:23+00
-2.397855,54.192887,279.6,389,2021/09/11 09:30:27+00
-2.397863,54.192884,279.4,390,2021/09/11 09:30:32+00
-2.397874,54.192883,279.6,391,2021/09/11 09:30:41+00
-2.397883,54.192877,279.6,392,2021/09/11 09:30:45+00
-2.39788,54.192861,279.2,393,2021/09/11 09:30:50+00
-2.397878,54.19285,279.4,394,2021/09/11 09:31:00+00
-2.397846,54.192855,279.4,395,2021/09/11 09:31:08+00
-2.397846,54.192858,279.4,396,2021/09/11 09:31:09+00
-2.397845,54.192863,279.4,397,2021/09/11 09:31:18+00
-2.397849,54.192858,279.4,398,2021/09/11 09:31:26+00
-2.397835,54.192864,279.4,399,2021/09/11 09:31:30+00
-2.397832,54.192857,279.4,400,2021/09/11 09:31:33+00
-2.397839,54.192867,279.4,401,2021/09/11 09:31:37+00
-2.397864,54.192873,279.4,402,2021/09/11 09:31:46+00
-2.397864,54.192873,279.4,403,2021/09/11 09:31:48+00
-2.397854,54.192872,279.4,404,2021/09/11 09:31:57+00
-2.397853,54.192873,279.4,405,2021/09/11 09:32:06+00
-2.39785,54.192848,279.4,406,2021/09/11 09:32:15+00
-2.397859,54.192845,279.4,407,2021/09/11 09:32:22+00
-2.397858,54.192845,279.4,408,2021/09/11 09:32:25+00
-2.397865,54.192845,279.4,409,2021/09/11 09:32:31+00
-2.397866,54.192842,279.4,410,2021/09/11 09:32:35+00
-2.397864,54.192846,279.4,411,2021/09/11 09:32:44+00
-2.397859,54.192837,279.4,412,2021/09/11 09:32:47+00
-2.397848,54.19283,279.4,413,2021/09/11 09:32:57+00
-2.397849,54.19283,279.4,414,2021/09/11 09:33:01+00
-2.397852,54.192828,279.4,415,2021/09/11 09:33:05+00
-2.397854,54.192834,279.4,416,2021/09/11 09:33:14+00
-2.397869,54.192824,279.4,417,2021/09/11 09:33:23+00
-2.397863,54.192842,279.4,418,2021/09/11 09:33:32+00
-2.397863,54.192842,279.4,419,2021/09/11 09:33:33+00
